Liste des candidats,Voix,% Inscrits,% Exprimés,Commune
Mme Anne HIDALGO,43,1.3,3.63,Les Anses-d'Arlet
M. Nicolas DUPONT-AIGNAN,36,1.09,3.04,Les Anses-d'Arlet
Mme Valérie PÉCRESSE,30,0.91,2.54,Les Anses-d'Arlet
M. Yannick JADOT,20,0.61,1.69,Les Anses-d'Arlet
M. Éric ZEMMOUR,19,0.58,1.61,Les Anses-d'Arlet
Mme Nathalie ARTHAUD,17,0.52,1.44,Les Anses-d'Arlet
M. Jean LASSALLE,16,0.48,1.35,Les Anses-d'Arlet
M. Philippe POUTOU,8,0.24,0.68,Les Anses-d'Arlet
M. Fabien ROUSSEL,6,0.18,0.51,Les Anses-d'Arlet
M. Jean-Luc MÉLENCHON,1320,21.31,43.59,Les Trois-Ilets
M. Emmanuel MACRON,673,10.87,22.23,Les Trois-Ilets
Mme Marine LE PEN,363,5.86,11.99,Les Trois-Ilets
M. Éric ZEMMOUR,148,2.39,4.89,Les Trois-Ilets
M. Yannick JADOT,120,1.94,3.96,Les Trois-Ilets
Mme Valérie PÉCRESSE,116,1.87,3.83,Les Trois-Ilets
M. Nicolas DUPONT-AIGNAN,90,1.45,2.97,Les Trois-Ilets
Mme Anne HIDALGO,70,1.13,2.31,Les Trois-Ilets
M. Jean LASSALLE,38,0.61,1.25,Les Trois-Ilets
M. Philippe POUTOU,37,0.6,1.22,Les Trois-Ilets
Mme Nathalie ARTHAUD,27,0.44,0.89,Les Trois-Ilets
M. Fabien ROUSSEL,26,0.42,0.86,Les Trois-Ilets
M. Jean-Luc MÉLENCHON,128,12.67,47.41,Macouba
Mme Marine LE PEN,69,6.83,25.56,Macouba
M. Emmanuel MACRON,27,2.67,10.0,Macouba
Mme Nathalie ARTHAUD,10,0.99,3.7,Macouba
Mme Anne HIDALGO,9,0.89,3.33,Macouba
M. Éric ZEMMOUR,8,0.79,2.96,Macouba
Mme Valérie PÉCRESSE,8,0.79,2.96,Macouba
M. Nicolas DUPONT-AIGNAN,4,0.4,1.48,Macouba
M. Jean LASSALLE,3,0.3,1.11,Macouba
M. Philippe POUTOU,3,0.3,1.11,Macouba
M. Fabien ROUSSEL,1,0.1,0.37,Macouba
M. Yannick JADOT,0,0.0,0.0,Macouba
M. Jean-Luc MÉLENCHON,2283,20.8,67.17,Rivière-Pilote
Mme Marine LE PEN,396,3.61,11.65,Rivière-Pilote
M. Emmanuel MACRON,353,3.22,10.39,Rivière-Pilote
Mme Valérie PÉCRESSE,81,0.74,2.38,Rivière-Pilote
M. Nicolas DUPONT-AIGNAN,64,0.58,1.88,Rivière-Pilote
Mme Anne HIDALGO,62,0.56,1.82,Rivière-Pilote
M. Éric ZEMMOUR,38,0.35,1.12,Rivière-Pilote
Mme Nathalie ARTHAUD,33,0.3,0.97,Rivière-Pilote
M. Philippe POUTOU,29,0.26,0.85,Rivière-Pilote
M. Jean LASSALLE,26,0.24,0.76,Rivière-Pilote
M. Yannick JADOT,24,0.22,0.71,Rivière-Pilote
M. Fabien ROUSSEL,10,0.09,0.29,Rivière-Pilote
M. Jean-Luc MÉLENCHON,2201,21.49,55.92,Rivière-Salée
M. Emmanuel MACRON,590,5.76,14.99,Rivière-Salée
Mme Marine LE PEN,480,4.69,12.2,Rivière-Salée
Mme Valérie PÉCRESSE,169,1.65,4.29,Rivière-Salée
M. Nicolas DUPONT-AIGNAN,104,1.02,2.64,Rivière-Salée
M. Éric ZEMMOUR,96,0.94,2.44,Rivière-Salée
Mme Anne HIDALGO,93,0.91,2.36,Rivière-Salée
M. Yannick JADOT,63,0.62,1.6,Rivière-Salée
Mme Nathalie ARTHAUD,47,0.46,1.19,Rivière-Salée
M. Jean LASSALLE,41,0.4,1.04,Rivière-Salée
M. Philippe POUTOU,33,0.32,0.84,Rivière-Salée
M. Fabien ROUSSEL,19,0.19,0.48,Rivière-Salée
M. Jean-Luc MÉLENCHON,1649,21.87,57.96,Saint-Esprit
Mme Marine LE PEN,366,4.85,12.86,Saint-Esprit
M. Emmanuel MACRON,360,4.77,12.65,Saint-Esprit
Mme Valérie PÉCRESSE,201,2.67,7.07,Saint-Esprit
M. Nicolas DUPONT-AIGNAN,67,0.89,2.36,Saint-Esprit
Mme Anne HIDALGO,57,0.76,2.0,Saint-Esprit
M. Éric ZEMMOUR,38,0.5,1.34,Saint-Esprit
M. Yannick JADOT,27,0.36,0.95,Saint-Esprit
M. Jean LASSALLE,23,0.31,0.81,Saint-Esprit
Mme Nathalie ARTHAUD,20,0.27,0.7,Saint-Esprit
M. Fabien ROUSSEL,19,0.25,0.67,Saint-Esprit
M. Philippe POUTOU,18,0.24,0.63,Saint-Esprit
M. Jean-Luc MÉLENCHON,2672,21.89,53.27,Saint-Joseph
M. Emmanuel MACRON,756,6.19,15.07,Saint-Joseph
Mme Marine LE PEN,737,6.04,14.69,Saint-Joseph
Mme Valérie PÉCRESSE,217,1.78,4.33,Saint-Joseph
Mme Anne HIDALGO,150,1.23,2.99,Saint-Joseph
M. Nicolas DUPONT-AIGNAN,135,1.11,2.69,Saint-Joseph
M. Éric ZEMMOUR,114,0.93,2.27,Saint-Joseph
M. Yannick JADOT,75,0.61,1.5,Saint-Joseph
Mme Nathalie ARTHAUD,55,0.45,1.1,Saint-Joseph
M. Philippe POUTOU,44,0.36,0.88,Saint-Joseph
M. Jean LASSALLE,39,0.32,0.78,Saint-Joseph
M. Fabien ROUSSEL,22,0.18,0.44,Saint-Joseph
M. Jean-Luc MÉLENCHON,771,20.53,51.68,Saint-Pierre
M. Emmanuel MACRON,298,7.93,19.97,Saint-Pierre
Mme Marine LE PEN,236,6.28,15.82,Saint-Pierre
M. Éric ZEMMOUR,42,1.12,2.82,Saint-Pierre
Mme Valérie PÉCRESSE,36,0.96,2.41,Saint-Pierre
M. Nicolas DUPONT-AIGNAN,28,0.75,1.88,Saint-Pierre
Mme Nathalie ARTHAUD,24,0.64,1.61,Saint-Pierre
Mme Anne HIDALGO,21,0.56,1.41,Saint-Pierre
M. Fabien ROUSSEL,12,0.32,0.8,Saint-Pierre
M. Jean LASSALLE,11,0.29,0.74,Saint-Pierre
M. Philippe POUTOU,8,0.21,0.54,Saint-Pierre
M. Yannick JADOT,5,0.13,0.34,Saint-Pierre
M. Jean-Luc MÉLENCHON,758,17.57,50.94,Sainte-Anne
M. Emmanuel MACRON,241,5.59,16.2,Sainte-Anne
Mme Marine LE PEN,230,5.33,15.46,Sainte-Anne
M. Éric ZEMMOUR,60,1.39,4.03,Sainte-Anne
Mme Valérie PÉCRESSE,60,1.39,4.03,Sainte-Anne
Mme Anne HIDALGO,36,0.83,2.42,Sainte-Anne
M. Yannick JADOT,30,0.7,2.02,Sainte-Anne
Mme Nathalie ARTHAUD,23,0.53,1.55,Sainte-Anne
M. Nicolas DUPONT-AIGNAN,18,0.42,1.21,Sainte-Anne
M. Jean LASSALLE,14,0.32,0.94,Sainte-Anne
M. Philippe POUTOU,12,0.28,0.81,Sainte-Anne
M. Fabien ROUSSEL,6,0.14,0.4,Sainte-Anne
M. Jean-Luc MÉLENCHON,1829,23.11,53.79,Sainte-Luce
M. Emmanuel MACRON,598,7.56,17.59,Sainte-Luce
Mme Marine LE PEN,379,4.79,11.15,Sainte-Luce
Mme Valérie PÉCRESSE,117,1.48,3.44,Sainte-Luce
M. Éric ZEMMOUR,97,1.23,2.85,Sainte-Luce
M. Nicolas DUPONT-AIGNAN,97,1.23,2.85,Sainte-Luce
Mme Anne HIDALGO,95,1.2,2.79,Sainte-Luce
M. Yannick JADOT,75,0.95,2.21,Sainte-Luce
M. Jean LASSALLE,33,0.42,0.97,Sainte-Luce
M. Fabien ROUSSEL,32,0.4,0.94,Sainte-Luce
Mme Nathalie ARTHAUD,24,0.3,0.71,Sainte-Luce
M. Philippe POUTOU,24,0.3,0.71,Sainte-Luce
M. Jean-Luc MÉLENCHON,2863,17.41,50.32,Sainte-Marie
M. Emmanuel MACRON,1013,6.16,17.8,Sainte-Marie
Mme Marine LE PEN,996,6.06,17.5,Sainte-Marie
